query-id	corpus-id	label
17397	B07R9HPJPW	E
17397	B07Q34YJ4T	E
17397	B07NH217CV	E
17397	B07FGW35X3	E
17397	B07D7TQQQT	E
17397	B07C83DKDY	E
17397	B0771BJW17	I
17397	B075FQ7NWG	E
17397	B01FKZRV5Q	E
17397	B01F78TEO2	E
17397	B01F78SU24	S
17397	B01BIE0DGM	E
17397	B017IZZG3A	S
17397	B00WE4HMTW	E
17397	B00WE4GENC	E
17397	B00WE4FZ46	E
62697	B07VTTZ2N1	S
62697	B07VQFDFNY	S
62697	B07S9XZH16	S
62697	B07RPB7TDS	S
62697	B07Q23GLLX	S
62697	B07MNZHH95	S
62697	B07KRXGVFY	S
62697	B07FCD1WJ8	S
62697	B079MB3J54	E
62697	B079M12LSG	S
62697	B0792K7LH2	E
62697	B077ZDFXYK	S
62697	B06XP3G71N	S
62697	B01NBFBFBM	S
62697	B01MYN9K5B	E
62697	B01J0QZ2TS	S
77346	B07PS5ZSXW	S
77346	B07KGNB7DQ	S
77346	B06VYCZY1P	S
77346	B01MXLF8TY	S
77346	B01KVZJ5UO	E
77346	B01HXV90BS	S
77346	B01ES349CY	S
77346	B07HFGNCKQ	S
77346	B0065WQ3C6	S
77346	B00524U4J6	S
77346	B004UIDQHW	S
77346	B004UA2SLU	S
77346	B004AI97MA	S
77346	B001G7R3YW	S
77346	B000GD5LY6	S
77346	B00J1FNW28	S
110994	B07QTZRM1Y	S
110994	B085LB1H16	E
110994	B081KK6QB8	S
110994	B07ZJH1Z3X	S
110994	B07X7WBYYQ	S
110994	B07VDH2JCB	E
110994	B07RBSCS2T	E
110994	B07MK6VLVQ	S
110994	B07KCTDWKF	S
110994	B079FFN53L	E
110994	B07584P262	S
110994	B0722K4KZN	E
110994	B01G882DVG	I
110994	B00P17X2NY	I
110994	B00J9TILJA	E
110994	B008UW5AZ0	C
87984	B07TLLR6LM	E
87984	B07SZKM545	E
87984	B07SYD7P1Y	E
87984	B07R4QDMLV	S
87984	B07NJ8F56R	I
87984	B07HKLXP7B	E
87984	B082QLXHC5	I
87984	B07DPCTXN2	I
87984	B07CVT23SY	E
87984	B07CRS5V5F	E
87984	B07BLKLVJP	S
87984	B0799L2GFY	E
87984	B076PYBXB1	S
87984	B07H7XJZML	E
115761	B01JLPJKVO	S
115761	B01NBEAISX	S
115761	B0752648PW	E
115761	B07BJ469BR	E
115761	B07BJ495GL	S
115761	B07BJ4L4QR	E
115761	B07D6F9PL3	S
115761	B07DGKT39S	E
115761	B07NQVYCG3	E
115761	B07Q1DBLX9	E
115761	B07PZ8HLWD	E
115761	B07Q1DBVJ1	E
115761	B07Q1DBZR9	E
115761	B0842YRSTY	E
115761	B0842YTBP8	S
115761	B09329N5DP	S
115761	B08NCJJDBG	S
115761	B01JLPJIAW	E
115761	B07NQVYF72	E
115761	B01IPIL5JS	E
115761	B000V9VZMW	E
115761	B01HC0I57K	S
115761	B000R91CLU	E
115761	B002GJO6R6	E
115761	B003UEGZNE	E
115761	B004MBNDXO	E
115761	B005GYV7AW	S
115761	B005NTRDI0	E
115761	B00CQG5QUA	E
115761	B01HC0I5BQ	E
115761	B00JC9TJSO	S
115761	B00OD2EAY8	E
115761	B00UASJHME	E
115761	B00UASJHV0	E
115761	B019R44PDM	E
115761	B019ZTZTVQ	E
115761	B01FXMCWYG	S
115761	B01FXMD0WE	I
115761	B01FXMD3KS	E
115761	B00JC9TJVG	S
73513	B077S6N6DC	E
73513	B07JFPYPP7	S
73513	B079D2FN85	S
73513	B0797ZB8TQ	S
73513	B078C68BXX	E
73513	B07T2637KN	S
73513	B076436JNM	I
73513	B0784LLX84	E
73513	B01M4J9KYD	E
73513	B005967GTI	I
73513	B005KH2ZUQ	E
73513	B005O53T5E	I
73513	B0763QXZ6D	S
73513	B01LWISPTC	E
73513	B01M3PNL1E	S
73513	B017FYNDQG	S
8458	B083WFN377	C
8458	B089SQV1P1	C
8458	B0897MFT44	C
8458	B0882Z4G9C	I
8458	B086C3V21Y	I
8458	B08664SS73	C
8458	B0865RVKKX	C
8458	B07XC3JHTX	I
8458	B0064TXLHA	I
8458	B07TS5ZH4D	E
8458	B07F9MHT4M	S
8458	B07CCKW3GM	I
8458	B0753KKRR9	I
8458	B01G0BYATO	I
8458	B017RE19DS	S
8458	B07X1P7LW7	E
27187	B0063R4N4S	S
27187	B07C9VRKW6	I
27187	B082SK6R5R	E
27187	B079V14Y22	C
27187	B078G9X34H	C
27187	B0113IC2BM	C
27187	B007HOM47Y	C
27187	B00629T0UE	E
27187	B000AO5FB0	S
27187	B00288N5AO	E
27187	B000BMT0YO	E
27187	B000BMT0Y4	E
27187	B000BMRQQ8	E
27187	B000BMRQPE	E
27187	B000AO3G7A	E
27187	B004E3R3IQ	C
58655	B081D65DSG	S
58655	B082YVSY7S	E
58655	B07Z47BVYN	E
58655	B085286P2K	E
58655	B0868GHN38	E
58655	B084TF1592	E
58655	B07PG9S1SP	E
58655	B0813FZ6HK	E
58655	B07GX6TRQX	E
58655	B07G3LM6GY	E
58655	B075CV88VQ	E
58655	B01M9DS4KK	E
58655	B01IZVIBLU	E
58655	B009N83O1C	E
58655	B008POKE04	E
58655	B07NS654PC	E
41298	B07R291LSY	I
41298	B08CDLYYT1	E
41298	B085D56T4J	I
41298	B084SB7KTG	I
41298	B084D379D5	I
41298	B07T2C3XMX	I
41298	B07Q83LRVD	I
41298	B07R8RRL3X	I
41298	B07KQXLZQL	I
41298	B07FD61MPY	E
41298	B07NKB5V2G	I
41298	B07FBBSV6G	E
41298	B07CY7CVTJ	I
41298	B07CTCLMKF	I
41298	B06XWS4595	I
41298	B06XJ5DFJH	E
59602	B08151MVXX	S
59602	B081513QPK	S
59602	B07ZBQ7ZFP	S
59602	B07ZBPHP8T	E
59602	B07Z3VGFPB	I
59602	B07Y5GW31P	I
59602	B07TMQ7K35	I
59602	B07RFLJFRF	I
59602	B07L7457J2	S
59602	B07KSPBP47	I
59602	B07D3HGXCZ	S
59602	B06Y5682ZX	S
59602	B00DSRO0WQ	S
59602	B00459H4Z6	S
59602	B00459GJY8	E
59602	B00156G5ZC	S
10854	B07CKQL42P	I
10854	B07YDLJX9S	E
10854	B07TK7V5N1	I
10854	B07S7P89QD	I
10854	B07MF44YWP	I
10854	B07KSTMM44	I
10854	B07FSMD85R	E
10854	B0798M7BKM	I
10854	B01JBDY3GS	I
10854	B01MCRSMQJ	I
10854	B01M6ZLF4N	I
10854	B01LQ27VR0	I
10854	B00GK7K156	I
10854	B00G74W588	E
10854	B002UFIPVE	I
10854	B06Y3SC9KV	I
25913	B07L96BTT1	E
25913	B07TT3RRV5	E
25913	B07QLL4RSV	E
25913	B07MQ55N61	E
25913	B07L59BS1K	E
25913	B07DK5G24Q	E
25913	B0754B3S59	E
25913	B07L4Q6MD8	I
25913	B01MYG7MWV	E
25913	B01J7YVZ6W	E
25913	B01E4LWBLQ	E
25913	B01C651ZBY	E
25913	B01BJ48FKM	E
25913	B019YGJ79K	E
25913	B0000C6ECF	E
25913	B071D64RSC	E
95418	B082TR85LB	S
95418	B07ZZ8HSV6	S
95418	B07XHFYBZL	S
95418	B07WXSFRGC	I
95418	B07T27385X	E
95418	B07P9Q2821	S
95418	B07MQ8QQZF	S
95418	B082VC123J	S
95418	B07LCPHNJ8	S
95418	B079MJB7LH	E
95418	B06ZYDHN9H	I
95418	B01MSTMHV9	S
95418	B00O21UVSE	E
95418	B004XCWMDY	I
95418	B004PKJ3XG	I
95418	B07MBP5K3Y	S
76223	B08QTJJRFK	S
76223	B087W7Q3LM	E
76223	B0781VN77F	S
76223	B081KH2TVB	C
76223	B07YZC5C77	E
76223	B07XGVX19G	I
76223	B07X6846K1	S
76223	B07VGHB1YL	S
76223	B07J3FL5DB	S
76223	B07CX11NK7	S
76223	B07CWH3M5V	S
76223	B083MMDJK9	S
76223	B071NJWD8H	S
76223	B01N0509N1	S
76223	B00203KPE6	S
76223	B06XNZ4LH7	I
76223	B003NXM9HS	I
76223	B005LW0BI8	E
76223	B00203Q9FK	S
76223	B00UY6WEFO	S
76223	B01DPWDWHC	S
76223	B01L3MAC6K	S
76223	B01M2DMYD0	S
76223	B008VFBCYO	I
69731	B07ZX96ZXT	E
69731	B07YY7N1YZ	I
69731	B07S2HXDMS	I
69731	B07S1FPBBT	I
69731	B07R1JV391	E
69731	B07HGWX7QJ	E
69731	B076KLDVDH	E
69731	B07WK6XJG5	E
69731	B074JG6HC1	E
69731	B074664QD2	E
69731	B072Q2GFSK	E
69731	B01KU7XVVC	E
69731	B01E3K3W66	E
69731	B00LYMX48I	E
69731	B00LY81CAY	E
69731	B075WS7X7Q	E
95773	B087D31BSX	E
95773	B0874PKNRD	S
